symbol,date,open,high,low,close,volume
HDFCVALUE,2022-09-29,85.7,86.45,83.5,84.11,9215
HDFCVALUE,2022-09-30,84.01,85.19,83.05,85.06,14976
HDFCVALUE,2022-10-03,84.81,85.39,83.3,84.31,8134
HDFCVALUE,2022-10-04,85.1,85.96,84.45,85.3,5140
HDFCVALUE,2022-10-06,85.7,86.89,85.51,86.4,1710
HDFCVALUE,2022-10-07,88.99,88.99,86.0,86.94,1280
HDFCVALUE,2022-10-10,86.93,86.94,84.8,86.46,18068
HDFCVALUE,2022-10-11,86.31,86.79,82.04,84.19,3571
HDFCVALUE,2022-10-12,84.61,87.0,84.61,85.77,3466
HDFCVALUE,2022-10-13,86.9,86.91,85.41,85.52,2269
HDFCVALUE,2022-10-14,86.0,87.5,85.3,85.61,5321
HDFCVALUE,2022-10-17,88.17,88.17,85.41,86.25,13956
HDFCVALUE,2022-10-18,86.74,87.75,86.56,86.94,18741
HDFCVALUE,2022-10-19,87.19,91.1,86.96,87.17,25472
HDFCVALUE,2022-10-20,86.9,88.44,86.6,88.0,1185
HDFCVALUE,2022-10-21,90.64,90.64,87.17,87.63,1825
HDFCVALUE,2022-10-24,87.5,92.0,86.9,89.16,465
HDFCVALUE,2022-10-25,88.7,89.0,87.68,87.79,852
HDFCVALUE,2022-10-27,88.0,89.0,87.2,88.25,10265
HDFCVALUE,2022-10-28,88.39,89.0,88.39,88.51,8116
HDFCVALUE,2022-10-31,89.59,89.59,87.82,88.38,76975
HDFCVALUE,2022-11-01,88.99,91.61,88.99,91.06,9454
HDFCVALUE,2022-11-02,90.81,90.81,89.95,90.13,9326
HDFCVALUE,2022-11-03,89.99,90.49,89.92,90.19,2479
HDFCVALUE,2022-11-04,90.9,90.9,89.27,90.59,6385
HDFCVALUE,2022-11-07,91.39,95.0,90.21,92.79,2818
HDFCVALUE,2022-11-09,95.57,95.57,90.21,90.53,5710
HDFCVALUE,2022-11-10,95.0,95.0,89.71,89.72,1356
HDFCVALUE,2022-11-11,89.72,95.0,89.72,91.23,9596
HDFCVALUE,2022-11-14,91.39,92.3,91.03,91.8,3912
HDFCVALUE,2022-11-15,91.4,91.84,90.41,91.32,1685
HDFCVALUE,2022-11-16,91.2,92.26,89.25,89.61,3072
HDFCVALUE,2022-11-17,92.29,92.29,90.2,91.27,4403
HDFCVALUE,2022-11-18,91.39,91.58,90.13,91.29,2478
HDFCVALUE,2022-11-21,93.0,93.0,90.63,90.81,1699
HDFCVALUE,2022-11-22,90.8,91.5,90.0,91.5,1433
HDFCVALUE,2022-11-23,90.0,92.6,90.0,90.4,505
HDFCVALUE,2022-11-24,93.0,93.0,90.94,92.31,5590
HDFCVALUE,2022-11-25,92.31,92.95,91.74,92.78,4217
HDFCVALUE,2022-11-28,92.89,93.0,92.16,92.99,4871
HDFCVALUE,2022-11-29,92.9,93.78,92.21,92.69,3019
HDFCVALUE,2022-11-30,92.99,93.49,91.7,93.21,5465
HDFCVALUE,2022-12-01,94.0,94.8,92.3,94.46,7378
HDFCVALUE,2022-12-02,94.69,96.0,93.21,94.85,6024
HDFCVALUE,2022-12-05,96.0,96.0,93.21,93.54,4768
HDFCVALUE,2022-12-06,93.99,95.5,93.51,95.05,4011
HDFCVALUE,2022-12-07,94.39,94.99,92.55,93.12,3196
HDFCVALUE,2022-12-08,93.21,96.0,93.21,94.92,866
HDFCVALUE,2022-12-09,96.85,96.85,92.61,93.78,783
HDFCVALUE,2022-12-12,92.0,94.84,92.0,92.92,1337
HDFCVALUE,2022-12-13,92.07,94.7,92.07,94.03,1943
HDFCVALUE,2022-12-14,94.5,95.95,93.25,94.5,1421
HDFCVALUE,2022-12-15,94.5,94.65,92.9,93.9,1306
HDFCVALUE,2022-12-16,93.9,94.8,92.0,92.36,657
HDFCVALUE,2022-12-19,93.5,94.1,90.5,91.36,1847
HDFCVALUE,2022-12-20,92.0,92.0,90.13,90.6,2372
HDFCVALUE,2022-12-21,92.45,92.45,91.0,92.16,173
HDFCVALUE,2022-12-22,90.8,91.99,90.18,91.85,970
HDFCVALUE,2022-12-23,91.1,91.24,88.92,89.31,2544
HDFCVALUE,2022-12-26,89.89,90.49,89.52,89.9,4116
HDFCVALUE,2022-12-27,90.2,90.69,90.05,90.1,1690
HDFCVALUE,2022-12-28,91.9,91.9,90.01,91.82,2595
HDFCVALUE,2022-12-29,91.8,92.0,89.3,89.45,604
HDFCVALUE,2022-12-30,90.2,98.71,89.65,93.01,1443
HDFCVALUE,2023-01-02,92.7,93.5,89.92,90.94,2367
HDFCVALUE,2023-01-03,91.99,92.29,90.3,91.86,7779
HDFCVALUE,2023-01-04,91.41,92.0,89.18,89.57,1865
HDFCVALUE,2023-01-05,90.8,92.0,89.9,90.02,349
HDFCVALUE,2023-01-06,90.5,92.09,90.16,90.76,176
HDFCVALUE,2023-01-09,91.0,91.95,91.0,91.95,871
HDFCVALUE,2023-01-10,91.95,94.0,90.4,91.92,2063
HDFCVALUE,2023-01-11,90.94,92.58,90.87,91.71,578
HDFCVALUE,2023-01-12,92.01,92.21,90.0,90.48,191
HDFCVALUE,2023-01-13,91.0,93.49,90.83,92.32,361
HDFCVALUE,2023-01-16,94.0,94.0,91.2,92.27,1986
HDFCVALUE,2023-01-17,91.25,97.5,91.25,93.73,18768
HDFCVALUE,2023-01-18,92.73,95.5,92.73,95.03,1818
